comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,35,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,2,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,2,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,2,boss,180,200,1.000,0.000,0.000,0.980,3.7,0.00,0.020,1.000,1.698
trio-core,35,2,boss,300,200,1.000,0.000,0.000,0.979,3.8,0.00,0.021,1.000,1.698
trio-core,35,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,3,pack,180,200,1.000,0.000,0.000,0.982,2.3,0.00,0.018,1.000,1.700
trio-core,35,3,pack,300,200,1.000,0.000,0.000,0.982,2.3,0.00,0.018,1.000,1.700
trio-core,35,3,boss,180,200,1.000,0.000,0.000,0.974,4.2,0.00,0.026,1.000,1.695
trio-core,35,3,boss,300,200,1.000,0.000,0.000,0.974,4.2,0.00,0.026,1.000,1.695
trio-core,35,4,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,4,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,4,pack,180,200,1.000,0.000,0.000,0.970,3.2,0.00,0.030,1.000,1.693
trio-core,35,4,pack,300,200,1.000,0.000,0.000,0.970,3.2,0.00,0.030,1.000,1.693
trio-core,35,4,boss,180,200,1.000,0.000,0.000,0.969,5.8,0.00,0.031,1.000,1.692
trio-core,35,4,boss,300,200,1.000,0.000,0.000,0.969,5.8,0.00,0.031,1.000,1.692
trio-core,35,5,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,5,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,5,pack,180,200,1.000,0.000,0.000,0.963,3.2,0.00,0.037,1.000,1.689
trio-core,35,5,pack,300,200,1.000,0.000,0.000,0.962,3.2,0.00,0.038,1.000,1.688
trio-core,35,5,boss,180,200,1.000,0.000,0.000,0.956,6.2,0.00,0.044,1.000,1.685
trio-core,35,5,boss,300,200,1.000,0.000,0.000,0.957,6.2,0.00,0.043,1.000,1.686
trio-core,35,6,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,6,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,6,pack,180,200,1.000,0.000,0.000,0.939,5.0,0.00,0.061,1.000,1.675
trio-core,35,6,pack,300,200,1.000,0.000,0.000,0.940,4.9,0.00,0.060,1.000,1.676
trio-core,35,6,boss,180,200,1.000,0.000,0.000,0.914,8.7,0.00,0.086,1.000,1.661
trio-core,35,6,boss,300,200,1.000,0.000,0.000,0.912,8.7,0.00,0.088,1.000,1.660
trio-core,35,7,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,7,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,7,pack,180,200,1.000,0.000,0.000,0.916,5.7,0.00,0.084,1.000,1.662
trio-core,35,7,pack,300,200,1.000,0.000,0.000,0.916,5.7,0.00,0.084,1.000,1.662
trio-core,35,7,boss,180,200,1.000,0.000,0.000,0.909,12.0,0.00,0.091,1.000,1.658
trio-core,35,7,boss,300,200,1.000,0.000,0.000,0.922,12.1,0.00,0.078,1.000,1.666
trio-core,35,8,solo,180,200,1.000,0.000,0.000,0.973,1.1,0.00,0.027,1.000,1.695
trio-core,35,8,solo,300,200,1.000,0.000,0.000,0.973,1.1,0.00,0.027,1.000,1.694
trio-core,35,8,pack,180,200,1.000,0.000,0.000,0.911,8.0,0.00,0.089,1.000,1.659
trio-core,35,8,pack,300,200,1.000,0.000,0.000,0.916,8.0,0.00,0.084,1.000,1.662
trio-core,35,8,boss,180,200,1.000,0.000,0.000,0.984,16.4,0.00,0.016,1.000,1.701
trio-core,35,8,boss,300,200,1.000,0.000,0.000,0.985,16.4,0.00,0.015,1.000,1.702
trio-core,50,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,1,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,1,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,1,boss,180,200,1.000,0.000,0.000,0.995,1.7,0.00,0.005,1.000,1.797
trio-core,50,1,boss,300,200,1.000,0.000,0.000,0.995,1.8,0.00,0.005,1.000,1.797
trio-core,50,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,2,boss,180,200,1.000,0.000,0.000,0.994,2.1,0.00,0.006,1.000,1.796
trio-core,50,2,boss,300,200,1.000,0.000,0.000,0.993,2.1,0.00,0.007,1.000,1.796
trio-core,50,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,3,pack,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,3,pack,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,3,boss,180,200,1.000,0.000,0.000,0.985,3.1,0.00,0.015,1.000,1.791
trio-core,50,3,boss,300,200,1.000,0.000,0.000,0.985,3.1,0.00,0.015,1.000,1.791
trio-core,50,4,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,4,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,4,pack,180,200,1.000,0.000,0.000,0.987,2.1,0.00,0.013,1.000,1.792
trio-core,50,4,pack,300,200,1.000,0.000,0.000,0.987,2.1,0.00,0.013,1.000,1.792
trio-core,50,4,boss,180,200,1.000,0.000,0.000,0.981,4.0,0.00,0.019,1.000,1.788
trio-core,50,4,boss,300,200,1.000,0.000,0.000,0.981,4.0,0.00,0.019,1.000,1.788
trio-core,50,5,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
trio-core,50,5,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
