comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,35,3,pack,180,500,1.000,0.000,0.000,0.980,1.9,0.00,0.020,1.000,1.698
trio-core,35,3,pack,300,500,1.000,0.000,0.000,0.980,1.9,0.00,0.020,1.000,1.699
trio-core,35,3,boss,180,500,1.000,0.000,0.000,0.966,3.7,0.00,0.034,0.502,1.691
trio-core,35,3,boss,300,500,1.000,0.000,0.000,0.966,3.7,0.00,0.034,0.500,1.691
trio-core,35,4,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,4,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,4,pack,180,500,1.000,0.000,0.000,0.972,2.6,0.00,0.028,1.000,1.694
trio-core,35,4,pack,300,500,1.000,0.000,0.000,0.972,2.6,0.00,0.028,1.000,1.694
trio-core,35,4,boss,180,500,1.000,0.000,0.000,0.987,5.1,0.00,0.013,0.500,1.703
trio-core,35,4,boss,300,500,1.000,0.000,0.000,0.988,5.1,0.00,0.012,0.500,1.703
trio-core,35,5,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,5,solo,300,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,5,pack,180,500,1.000,0.000,0.000,0.936,3.9,0.00,0.064,0.667,1.674
trio-core,35,5,pack,300,500,1.000,0.000,0.000,0.937,3.9,0.00,0.063,0.667,1.674
trio-core,35,5,boss,180,500,1.000,0.000,0.000,0.964,8.0,0.00,0.036,0.333,1.689
trio-core,35,5,boss,300,500,1.000,0.000,0.000,0.964,8.0,0.00,0.036,0.333,1.689
trio-core,35,6,solo,180,500,1.000,0.000,0.000,0.972,0.7,0.00,0.028,1.000,1.694
trio-core,35,6,solo,300,500,1.000,0.000,0.000,0.972,0.7,0.00,0.028,1.000,1.694
trio-core,35,6,pack,180,500,1.000,0.000,0.000,0.936,5.8,0.00,0.064,0.602,1.674
trio-core,35,6,pack,300,500,1.000,0.000,0.000,0.935,5.8,0.00,0.065,0.602,1.673
trio-core,35,6,boss,180,500,1.000,0.000,0.000,0.969,12.3,0.00,0.031,0.354,1.692
trio-core,35,6,boss,300,500,1.000,0.000,0.000,0.968,12.3,0.00,0.032,0.354,1.692
trio-core,35,7,solo,180,500,1.000,0.000,0.000,0.963,1.9,0.00,0.037,1.000,1.689
trio-core,35,7,solo,300,500,1.000,0.000,0.000,0.963,1.9,0.00,0.037,1.000,1.689
