comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,20,5,pack,180,500,0.286,0.000,0.714,0.649,32.8,2.39,0.814,0.543,0.409
trio-core,20,5,boss,60,500,0.000,0.022,0.978,—,—,2.96,0.993,0.753,0.000
trio-core,20,5,boss,180,500,0.006,0.000,0.994,0.344,33.7,2.99,0.998,0.741,0.008
trio-core,20,6,solo,60,500,1.000,0.000,0.000,0.635,3.6,0.00,0.365,0.823,1.423
trio-core,20,6,solo,180,500,1.000,0.000,0.000,0.636,3.6,0.00,0.364,0.828,1.423
trio-core,20,6,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.500,0.000
trio-core,20,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.501,0.000
trio-core,20,6,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.480,0.000
trio-core,20,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.483,0.000
trio-core,20,7,solo,60,500,0.012,0.000,0.988,0.433,5.4,2.98,0.995,0.457,0.016
trio-core,20,7,solo,180,500,0.010,0.000,0.990,0.483,4.7,2.98,0.995,0.462,0.013
trio-core,20,7,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.501,0.000
trio-core,20,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,20,7,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.500,0.000
trio-core,20,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.504,0.000
trio-core,20,8,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.460,0.000
trio-core,20,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.461,0.000
trio-core,20,8,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.467,0.000
trio-core,20,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.464,0.000
trio-core,20,8,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.476,0.000
trio-core,20,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.468,0.000
trio-core,35,1,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,pack,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,pack,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,1,boss,60,500,1.000,0.000,0.000,0.992,1.3,0.00,0.008,1.000,1.706
trio-core,35,1,boss,180,500,1.000,0.000,0.000,0.992,1.3,0.00,0.008,1.000,1.706
trio-core,35,2,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,2,pack,60,500,1.000,0.000,0.000,0.993,0.7,0.00,0.007,1.000,1.706
trio-core,35,2,pack,180,500,1.000,0.000,0.000,0.993,0.7,0.00,0.007,1.000,1.706
trio-core,35,2,boss,60,500,1.000,0.000,0.000,0.979,2.5,0.00,0.021,0.566,1.698
trio-core,35,2,boss,180,500,1.000,0.000,0.000,0.980,2.5,0.00,0.020,0.569,1.699
trio-core,35,3,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,3,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,3,pack,60,500,1.000,0.000,0.000,0.970,1.9,0.00,0.030,0.954,1.693
trio-core,35,3,pack,180,500,1.000,0.000,0.000,0.970,1.9,0.00,0.030,0.953,1.693
trio-core,35,3,boss,60,500,1.000,0.000,0.000,0.952,3.7,0.00,0.048,0.598,1.682
trio-core,35,3,boss,180,500,1.000,0.000,0.000,0.952,3.7,0.00,0.048,0.597,1.683
trio-core,35,4,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,4,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,4,pack,60,500,1.000,0.000,0.000,0.931,2.5,0.00,0.069,0.813,1.671
trio-core,35,4,pack,180,500,1.000,0.000,0.000,0.929,2.6,0.00,0.071,0.809,1.670
trio-core,35,4,boss,60,500,1.000,0.000,0.000,0.943,5.1,0.00,0.057,0.400,1.677
trio-core,35,4,boss,180,500,1.000,0.000,0.000,0.942,5.1,0.00,0.058,0.400,1.677
trio-core,35,5,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,5,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.710
trio-core,35,5,pack,60,500,1.000,0.000,0.000,0.833,3.9,0.00,0.167,0.692,1.615
trio-core,35,5,pack,180,500,1.000,0.000,0.000,0.831,3.9,0.00,0.169,0.694,1.614
trio-core,35,5,boss,60,500,1.000,0.000,0.000,0.808,11.2,0.20,0.192,0.484,1.601
trio-core,35,5,boss,180,500,1.000,0.000,0.000,0.813,11.3,0.20,0.187,0.488,1.603
trio-core,35,6,solo,60,500,1.000,0.000,0.000,0.945,0.7,0.00,0.055,1.000,1.679
trio-core,35,6,solo,180,500,1.000,0.000,0.000,0.945,0.7,0.00,0.055,1.000,1.679
trio-core,35,6,pack,60,500,0.896,0.000,0.104,0.692,16.6,0.72,0.380,0.779,1.375
trio-core,35,6,pack,180,500,0.866,0.000,0.134,0.682,17.1,0.83,0.409,0.781,1.324
trio-core,35,6,boss,60,500,0.056,0.058,0.886,0.567,28.4,2.78,0.942,0.808,0.082
trio-core,35,6,boss,180,500,0.054,0.000,0.946,0.527,38.8,2.90,0.972,0.813,0.078
trio-core,35,7,solo,60,500,1.000,0.000,0.000,0.809,2.0,0.00,0.191,0.954,1.601
trio-core,35,7,solo,180,500,1.000,0.000,0.000,0.810,1.9,0.00,0.190,0.959,1.602
trio-core,35,7,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.509,0.000
trio-core,35,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.502,0.000
trio-core,35,7,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.560,0.000
trio-core,35,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.566,0.000
trio-core,35,8,solo,60,500,0.062,0.000,0.938,0.439,4.0,2.88,0.973,0.521,0.086
trio-core,35,8,solo,180,500,0.062,0.000,0.938,0.473,3.9,2.87,0.971,0.512,0.087
trio-core,35,8,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.539,0.000
trio-core,35,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.536,0.000
trio-core,35,8,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.527,0.000
trio-core,35,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.523,0.000
trio-core,50,1,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.800
